POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,KL Rahul,94,85,16,3273,132*,47.43,2400,136.37,2,27,282,134
2,Ruturaj Gaikwad,22,22,4,839,101*,46.61,635,132.12,1,7,80,29
3,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
4,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
5,Iqbal Abdulla,49,13,11,88,33*,44.0,84,104.76,0,0,9,1
6,David Warner,150,150,19,5449,126,41.59,3893,139.96,4,50,525,201
7,Jonny Bairstow,28,28,3,1038,114,41.52,730,142.19,1,7,99,46
8,Venkatesh Iyer,10,10,1,370,67,41.11,288,128.47,0,4,37,14
9,Paul Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,9,13
10,Kane Williamson,63,62,15,1885,89,40.1,1436,131.26,0,17,166,56
11,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
12,Shaun Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,266,78
13,JP Duminy,83,77,26,2029,78*,39.78,1636,124.02,0,14,126,79
14,Chris Gayle,142,141,16,4965,175*,39.72,3333,148.96,6,31,405,357
15,AB de Villiers,184,170,40,5162,133*,39.7,3403,151.68,3,40,413,251
16,MS Dhoni,220,193,73,4746,84*,39.55,3494,135.83,0,23,325,219
17,Michael Hussey,59,58,7,1977,116*,38.76,1612,122.64,1,15,198,52
18,K.S Bharat,8,7,2,191,78*,38.2,156,122.43,0,1,10,8
19,Virat Kohli,207,199,31,6283,113,37.39,4835,129.94,5,42,546,210
20,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
21,Matthew Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,121,44
22,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
23,Rishabh Pant,84,84,13,2498,128*,35.18,1694,147.46,1,15,225,113
24,Jos Buttler,65,64,8,1968,124,35.14,1312,150.0,1,11,194,90
25,Faf du Plessis,100,93,9,2935,96,34.94,2239,131.08,0,22,265,96
26,Shikhar Dhawan,192,191,25,5784,106*,34.84,4567,126.64,2,44,654,124
27,Sachin Tendulkar,78,78,11,2334,100*,34.83,1948,119.81,1,13,295,29
28,Steve Smith,103,93,21,2485,101,34.51,1940,128.09,1,11,225,60
29,Chris Lynn,42,42,3,1329,93*,34.07,945,140.63,0,10,132,66
30,Jagadeesha Suchith,17,8,6,68,34*,34.0,53,128.3,0,0,6,3
31,Owais Shah,23,22,7,506,76,33.73,389,130.07,0,4,34,23
32,Brad Hodge,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43
33,David Miller,89,86,26,1974,101*,32.9,1446,136.51,1,10,137,90
34,Suresh Raina,205,200,30,5528,100*,32.51,4042,136.76,1,39,506,203
35,Ben Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,21,5
36,Basil Thampi,20,8,7,32,13*,32.0,35,91.42,0,0,1,1
37,David Wiese,15,8,4,127,47*,31.75,90,141.11,0,0,12,4
38,Shreyas Iyer,87,87,12,2375,96,31.66,1916,123.95,0,16,196,88
39,Devdutt Padikkal,29,29,1,884,101*,31.57,707,125.03,1,6,95,22
40,Ajinkya Rahane,151,141,16,3941,105*,31.52,3248,121.33,2,28,417,76
41,Shubman Gill,58,55,10,1417,76,31.48,1152,123.0,0,10,137,36
42,Quinton de Kock,77,77,5,2256,108,31.33,1723,130.93,1,16,230,83
43,Gautam Gambhir,154,152,17,4217,93,31.23,3404,123.88,0,36,491,59
44,Rohit Sharma,213,208,28,5611,109*,31.17,4303,130.39,1,40,491,227
45,Shane Watson,145,141,16,3874,117*,30.99,2809,137.91,4,21,376,190
46,Manish Pandey,154,143,27,3560,114*,30.68,2922,121.83,1,21,309,103
47,Subramaniam Badrinath,95,67,20,1441,71*,30.65,1212,118.89,0,11,154,28
48,Niraj Patel,9,6,2,121,57,30.25,119,101.68,0,1,14,1
49,Kieron Pollard,178,160,51,3268,87*,29.98,2182,149.77,0,16,212,214
50,Jason Roy,13,13,2,329,91*,29.9,255,129.01,0,2,39,9
51,James Franklin,20,16,5,327,79,29.72,301,108.63,0,1,25,8
52,Ravi Bopara,24,22,4,531,84,29.5,453,117.21,0,3,39,16
53,Ambati Rayudu,175,164,31,3916,100*,29.44,3072,127.47,1,21,324,149
54,Andre Russell,84,70,12,1700,88*,29.31,952,178.57,0,9,119,143
55,Travis Head,10,10,3,205,75*,29.28,148,138.51,0,1,12,8
56,Sanju Samson,121,117,12,3068,119,29.21,2286,134.2,3,15,236,132
57,Aiden Markram,6,6,1,146,42,29.2,119,122.68,0,0,12,4
58,Yusuf Pathan,174,154,44,3204,100,29.12,2241,142.97,1,13,262,158
59,Suryakumar Yadav,115,100,19,2341,82,28.9,1725,135.71,0,13,261,68
60,Saurabh Tiwary,93,73,21,1494,61,28.73,1244,120.09,0,8,111,50
61,Manoj Tiwary,98,85,26,1695,75*,28.72,1449,116.97,0,7,156,40
62,Mahela Jayawardena,80,78,15,1802,110*,28.6,1462,123.25,1,10,200,39
63,Jacques Kallis,98,96,11,2427,89*,28.55,2222,109.22,0,17,255,44
64,Ishan Kishan,61,56,5,1452,99,28.47,1065,136.33,0,9,121,74
65,Nitish Rana,77,71,7,1820,87,28.43,1374,132.45,0,13,161,89
66,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
67,Dwayne Smith,91,89,5,2385,87*,28.39,1764,135.2,0,17,245,117
68,Rahul Dravid,89,82,5,2174,75*,28.23,1882,115.51,0,11,269,28
69,Mark Boucher,31,24,10,394,50*,28.14,309,127.5,0,1,32,13
70,Shadab Jakati,59,8,7,28,13,28.0,29,96.55,0,0,3,0
71,Robin Uthappa,193,186,17,4722,87,27.94,3628,130.15,0,25,462,168
72,Moises Henriques,62,54,18,1000,74*,27.77,788,126.9,0,5,87,28
73,Marcus Stoinis,56,49,16,914,65,27.69,673,135.8,0,4,76,35
74,Brendon McCullum,109,109,5,2880,158*,27.69,2186,131.74,2,13,293,130
75,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
76,Evin Lewis,21,21,0,581,65,27.66,421,138.0,0,3,54,33
77,Sanath Jayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
78,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
79,Virender Sehwag,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
80,Luke Pomersbach,17,16,5,302,79*,27.45,246,122.76,0,1,25,13
81,Hardik Pandya,92,85,31,1476,91,27.33,959,153.91,0,4,97,98
82,Adam Gilchrist,80,80,4,2069,109*,27.22,1495,138.39,2,11,239,92
83,Ravindra Jadeja,200,151,63,2386,62*,27.11,1863,128.07,0,2,176,85
84,David Hussey,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60
85,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,1007,114.49,0,9,140,24
86,Cameron White,47,45,9,954,78,26.5,755,126.35,0,6,76,36
87,Vijay Shankar,47,39,12,712,63*,26.37,564,126.24,0,3,45,28
88,Rahul Tripathi,62,60,7,1385,93,26.13,1016,136.31,0,7,136,48
89,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
90,Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27
91,Murali Vijay,106,106,5,2619,127,25.93,2149,121.87,2,13,247,91
92,Shimron Hetmyer,31,29,9,517,75,25.85,342,151.16,0,2,34,31
93,Dinesh Karthik,213,192,35,4046,97*,25.77,3119,129.72,0,19,399,112
94,Aaron Finch,87,85,7,2005,88*,25.7,1570,127.7,0,14,204,75
95,Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,13,8
96,Ben Stokes,43,42,6,920,107*,25.55,684,134.5,2,2,79,32
97,Sourav Ganguly,59,56,3,1349,91,25.45,1263,106.8,0,7,137,42
98,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
99,Tom Curran,13,10,5,127,54*,25.4,107,118.69,0,1,10,3
100,Glenn Maxwell,97,93,13,2018,95,25.22,1329,151.84,0,12,166,112
